,Descrição,Valor,Deputado,Data
756,Combustíveis e Lubrificantes Automotivos,"6.000,00",MANOEL DUCA,01/04/2019
757,Convênio com Plano de Saúde,"2.276,81",MANOEL DUCA,01/04/2019
758,Serviços Técnicos Profissionais,"23.400,00",MANOEL DUCA,01/04/2019
759,Serviços de Telecomunicações - Pacote de Dados,"334,62",MANOEL DUCA,01/04/2019
760,Vale-Refeição e Vale-Alimentação,"1.950,00",MANOEL DUCA,01/04/2019
761,Combustíveis e Lubrificantes Automotivos,"6.000,00",MARCOS SOBREIRA,01/04/2019
762,Divulgação das Atividades Parlamentares,"4.000,00",MARCOS SOBREIRA,01/04/2019
763,Serviços Gráficos e Editoriais,"10.430,40",MARCOS SOBREIRA,01/04/2019
764,Serviços Técnicos Profissionais,"8.100,00",MARCOS SOBREIRA,01/04/2019
765,Serviços de Telecomunicações - Pacote de Dados,"147,87",MARCOS SOBREIRA,01/04/2019
766,Vale-Refeição e Vale-Alimentação,"3.200,00",MARCOS SOBREIRA,01/04/2019
767,Combustíveis e Lubrificantes Automotivos,"6.000,00",MOISES BRAZ,01/04/2019
768,Despesas de Teleprocessamento,"99,90",MOISES BRAZ,01/04/2019
769,Despesas de Teleprocessamento,"470,00",MOISES BRAZ,01/04/2019
770,Divulgação das Atividades Parlamentares,"2.200,00",MOISES BRAZ,01/04/2019
771,Locação de Veículos,"12.070,00",MOISES BRAZ,01/04/2019
772,Passagens Aéreas,"1.842,89",MOISES BRAZ,01/04/2019
773,Passagens Terrestres,"110,01",MOISES BRAZ,01/04/2019
774,Serviços de Telecomunicações - Pacote de Dados,"104,14",MOISES BRAZ,01/04/2019
775,Vale-Refeição e Vale-Alimentação,"4.222,50",MOISES BRAZ,01/04/2019
776,Combustíveis e Lubrificantes Automotivos,"1.000,00",NELINHO,01/04/2019
777,Convênio com Plano de Saúde,"716,83",NELINHO,01/04/2019
778,Despesas de Teleprocessamento,"148,00",NELINHO,01/04/2019
779,Divulgação das Atividades Parlamentares,"14.000,00",NELINHO,01/04/2019
780,Hospedagens,"716,22",NELINHO,01/04/2019
781,Locação de Aeronaves,"-11.340,00",NELINHO,01/04/2019
782,Passagens Aéreas,"3.163,45",NELINHO,01/04/2019
783,Passagens Terrestres,"188,02",NELINHO,01/04/2019
784,Serviços Gráficos e Editoriais,"11.935,20",NELINHO,01/04/2019
785,Serviços de Telecomunicações - Pacote de Dados,"355,20",NELINHO,01/04/2019
786,Vale-Refeição e Vale-Alimentação,"2.000,00",NELINHO,01/04/2019
787,Divulgação das Atividades Parlamentares,"7.900,00",NEZINHO FARIAS,01/04/2019
788,Serviços Técnicos Profissionais,"13.680,00",NEZINHO FARIAS,01/04/2019
789,Serviços de Telecomunicações - Pacote de Dados,"163,11",NEZINHO FARIAS,01/04/2019
790,Vale-Refeição e Vale-Alimentação,"5.000,00",NEZINHO FARIAS,01/04/2019
791,Combustíveis e Lubrificantes Automotivos,"6.000,00",NIZO COSTA,01/04/2019
792,Convênio com Plano de Saúde,"1.944,57",NIZO COSTA,01/04/2019
793,Divulgação das Atividades Parlamentares,"8.000,00",NIZO COSTA,01/04/2019
794,Locação de Veículos,"9.350,00",NIZO COSTA,01/04/2019
795,Passagens Aéreas,"1.669,75",NIZO COSTA,01/04/2019
796,Serviços Técnicos Profissionais,"8.100,00",NIZO COSTA,01/04/2019
797,Vale-Refeição e Vale-Alimentação,"2.900,00",NIZO COSTA,01/04/2019
798,Combustíveis e Lubrificantes Automotivos,"6.000,00",OSMAR BAQUIT,01/04/2019
799,Passagens Aéreas,"2.368,12",OSMAR BAQUIT,01/04/2019
800,Passagens Terrestres,"625,05",OSMAR BAQUIT,01/04/2019
801,Serviços Técnicos Profissionais,"18.000,00",OSMAR BAQUIT,01/04/2019
802,Serviços de Telecomunicações - Pacote de Dados,"1.063,42",OSMAR BAQUIT,01/04/2019
803,Vale-Refeição e Vale-Alimentação,"5.000,00",OSMAR BAQUIT,01/04/2019
804,Combustíveis e Lubrificantes Automotivos,"1.000,00",PATRICIA AGUIAR,01/04/2019
805,Divulgação das Atividades Parlamentares,"8.000,00",PATRICIA AGUIAR,01/04/2019
806,Locação de Veículos,"7.140,00",PATRICIA AGUIAR,01/04/2019
807,Serviços Técnicos Profissionais,"18.500,00",PATRICIA AGUIAR,01/04/2019
808,Serviços de Comunicação em Geral,"59,40",PATRICIA AGUIAR,01/04/2019
809,Serviços de Telecomunicações - Pacote de Dados,"1.332,21",PATRICIA AGUIAR,01/04/2019
810,Vale-Refeição e Vale-Alimentação,"2.000,00",PATRICIA AGUIAR,01/04/2019
811,Combustíveis e Lubrificantes Automotivos,"5.500,00",QUEIROZ FILHO,01/04/2019
812,Convênio com Plano de Saúde,"1.058,20",QUEIROZ FILHO,01/04/2019
813,Divulgação das Atividades Parlamentares,"500,00",QUEIROZ FILHO,01/04/2019
814,Hospedagens,"1.362,26",QUEIROZ FILHO,01/04/2019
815,Locação de Veículos,"2.992,00",QUEIROZ FILHO,01/04/2019
816,Passagens Aéreas,"723,83",QUEIROZ FILHO,01/04/2019
817,Vale-Refeição e Vale-Alimentação,"4.500,00",QUEIROZ FILHO,01/04/2019
818,Combustíveis e Lubrificantes Automotivos,"2.600,00",RENATO ROSENO,01/04/2019
819,Convênio com Plano de Saúde,"827,76",RENATO ROSENO,01/04/2019
820,Hospedagens,"662,21",RENATO ROSENO,01/04/2019
821,Locação de Veículos,"4.505,00",RENATO ROSENO,01/04/2019
822,Passagens Aéreas,"3.354,23",RENATO ROSENO,01/04/2019
823,Passagens Terrestres,"927,09",RENATO ROSENO,01/04/2019
824,Serviços de Comunicação em Geral,"12,00",RENATO ROSENO,01/04/2019
825,Serviços de Telecomunicações - Pacote de Dados,"229,94",RENATO ROSENO,01/04/2019
826,Vale-Refeição e Vale-Alimentação,"5.000,00",RENATO ROSENO,01/04/2019
827,Convênio com Plano de Saúde,"1.886,38",ROMEU ALDIGUERI,01/04/2019
828,Divulgação das Atividades Parlamentares,"2.400,00",ROMEU ALDIGUERI,01/04/2019
829,Hospedagens,"724,01",ROMEU ALDIGUERI,01/04/2019
830,Passagens Aéreas,"2.294,57",ROMEU ALDIGUERI,01/04/2019
831,Serviços Técnicos Profissionais,"22.100,00",ROMEU ALDIGUERI,01/04/2019
832,Vale-Refeição e Vale-Alimentação,"5.000,00",ROMEU ALDIGUERI,01/04/2019
833,Combustíveis e Lubrificantes Automotivos,"6.000,00",SERGIO AGUIAR,01/04/2019
834,Despesas de Teleprocessamento,"2.500,00",SERGIO AGUIAR,01/04/2019
835,Divulgação das Atividades Parlamentares,"7.200,00",SERGIO AGUIAR,01/04/2019
836,Hospedagens,"330,01",SERGIO AGUIAR,01/04/2019
837,Passagens Aéreas,"4.308,02",SERGIO AGUIAR,01/04/2019
838,Passagens Terrestres,"1.676,07",SERGIO AGUIAR,01/04/2019
839,Seguros em Geral,"1.049,81",SERGIO AGUIAR,01/04/2019
840,Serviços Gráficos e Editoriais,"3.472,00",SERGIO AGUIAR,01/04/2019
841,Serviços Técnicos Profissionais,"7.020,00",SERGIO AGUIAR,01/04/2019
842,Serviços de Comunicação em Geral,"308,10",SERGIO AGUIAR,01/04/2019
843,Serviços de Telecomunicações,"21,79",SERGIO AGUIAR,01/04/2019
844,Serviços de Telecomunicações - Pacote de Dados,"1.315,02",SERGIO AGUIAR,01/04/2019
845,Vale-Refeição e Vale-Alimentação,"5.000,00",SERGIO AGUIAR,01/04/2019
846,Combustíveis e Lubrificantes Automotivos,"6.000,00",SOLDADO NOELIO,01/04/2019
847,Divulgação das Atividades Parlamentares,"3.050,00",SOLDADO NOELIO,01/04/2019
848,Hospedagens,"989,04",SOLDADO NOELIO,01/04/2019
849,Serviços Gráficos e Editoriais,"2.042,40",SOLDADO NOELIO,01/04/2019
850,Serviços Técnicos Profissionais,"4.000,00",SOLDADO NOELIO,01/04/2019
851,Vale-Refeição e Vale-Alimentação,"5.000,00",SOLDADO NOELIO,01/04/2019
852,Combustíveis e Lubrificantes Automotivos,"6.000,00",TIN GOMES,01/04/2019
853,Convênio com Plano de Saúde,"4.891,18",TIN GOMES,01/04/2019
854,Divulgação das Atividades Parlamentares,"3.000,00",TIN GOMES,01/04/2019
855,Locação de Veículos,"8.352,10",TIN GOMES,01/04/2019
856,Serviços de Telecomunicações - Pacote de Dados,"740,13",TIN GOMES,01/04/2019
857,Vale-Refeição e Vale-Alimentação,"5.000,00",TIN GOMES,01/04/2019
858,Combustíveis e Lubrificantes Automotivos,"6.000,00",VITOR VALIM,01/04/2019
859,Hospedagens,"2.239,59",VITOR VALIM,01/04/2019
860,Passagens Aéreas,"5.833,29",VITOR VALIM,01/04/2019
861,Serviços Técnicos Profissionais,"8.600,00",VITOR VALIM,01/04/2019
862,Serviços de Telecomunicações - Pacote de Dados,"1.679,43",VITOR VALIM,01/04/2019
863,Vale-Refeição e Vale-Alimentação,"4.000,00",VITOR VALIM,01/04/2019
864,Combustíveis e Lubrificantes Automotivos,"6.000,00",WALTER CAVALCANTE,01/04/2019
865,Despesas de Teleprocessamento,"1.000,00",WALTER CAVALCANTE,01/04/2019
866,Divulgação das Atividades Parlamentares,"1.500,00",WALTER CAVALCANTE,01/04/2019
867,Hospedagens,"1.289,47",WALTER CAVALCANTE,01/04/2019
868,Outros Serviços de Terceiros - Pessoa Jurídica,"405,50",WALTER CAVALCANTE,01/04/2019
869,Passagens Aéreas,"1.935,52",WALTER CAVALCANTE,01/04/2019
870,Passagens e Despesas com Locomoção,"1.729,08",WALTER CAVALCANTE,01/04/2019
871,Seguros em Geral,"1.453,18",WALTER CAVALCANTE,01/04/2019
872,Serviços Técnicos Profissionais,"3.960,00",WALTER CAVALCANTE,01/04/2019
873,Serviços de Comunicação em Geral,"2.087,79",WALTER CAVALCANTE,01/04/2019
874,Serviços de Telecomunicações - Pacote de Dados,"292,53",WALTER CAVALCANTE,01/04/2019
875,Vale-Refeição e Vale-Alimentação,"4.000,00",WALTER CAVALCANTE,01/04/2019
876,Combustíveis e Lubrificantes Automotivos,"6.000,00",ADERLANIA NORONHA,01/05/2019
877,Convênio com Plano de Saúde,"1.840,10",ADERLANIA NORONHA,01/05/2019
878,Divulgação das Atividades Parlamentares,"5.400,00",ADERLANIA NORONHA,01/05/2019
879,Passagens Aéreas,"10.906,90",ADERLANIA NORONHA,01/05/2019
880,Passagens Terrestres,"121,08",ADERLANIA NORONHA,01/05/2019
881,Serviços Técnicos Profissionais,"7.020,00",ADERLANIA NORONHA,01/05/2019
882,Serviços de Comunicação em Geral,"88,30",ADERLANIA NORONHA,01/05/2019
883,Serviços de Telecomunicações - Pacote de Dados,"1.321,69",ADERLANIA NORONHA,01/05/2019
884,Vale-Refeição e Vale-Alimentação,"5.000,00",ADERLANIA NORONHA,01/05/2019
885,Assinaturas de Periódicos e Anuidades,"130,84",AGENOR NETO,01/05/2019
886,Combustíveis e Lubrificantes Automotivos,"6.000,00",AGENOR NETO,01/05/2019
887,Convênio com Plano de Saúde,"2.298,79",AGENOR NETO,01/05/2019
888,Divulgação das Atividades Parlamentares,"2.700,00",AGENOR NETO,01/05/2019
889,Locação de Aeronaves,"9.000,05",AGENOR NETO,01/05/2019
890,Passagens Aéreas,"697,01",AGENOR NETO,01/05/2019
891,Passagens Terrestres,"395,39",AGENOR NETO,01/05/2019
892,Serviços Técnicos Profissionais,"26.000,00",AGENOR NETO,01/05/2019
893,Serviços de Comunicação em Geral,"112,57",AGENOR NETO,01/05/2019
894,Serviços de Telecomunicações - Pacote de Dados,"2.876,19",AGENOR NETO,01/05/2019
895,Vale-Refeição e Vale-Alimentação,"5.000,00",AGENOR NETO,01/05/2019
896,Assinaturas de Periódicos e Anuidades,"219,80",ANDRE FERNANDES,01/05/2019
897,Combustíveis e Lubrificantes Automotivos,"6.000,00",ANDRE FERNANDES,01/05/2019
898,Convênio com Plano de Saúde,"842,80",ANDRE FERNANDES,01/05/2019
899,Serviços Gráficos e Editoriais,"8.480,00",ANDRE FERNANDES,01/05/2019
900,Serviços de Telecomunicações - Pacote de Dados,"459,07",ANDRE FERNANDES,01/05/2019
901,Vale-Refeição e Vale-Alimentação,"5.000,00",ANDRE FERNANDES,01/05/2019
902,Assinaturas de Periódicos e Anuidades,"417,81",ANTONIO GRANJA,01/05/2019
903,Combustíveis e Lubrificantes Automotivos,"6.000,00",ANTONIO GRANJA,01/05/2019
904,Convênio com Plano de Saúde,"2.971,61",ANTONIO GRANJA,01/05/2019
905,Divulgação das Atividades Parlamentares,"7.600,00",ANTONIO GRANJA,01/05/2019
906,Locação de Veículos,"7.480,00",ANTONIO GRANJA,01/05/2019
907,Serviços Técnicos Profissionais,"8.100,00",ANTONIO GRANJA,01/05/2019
908,Serviços de Telecomunicações - Pacote de Dados,"1.207,97",ANTONIO GRANJA,01/05/2019
909,Vale-Refeição e Vale-Alimentação,"4.000,00",ANTONIO GRANJA,01/05/2019
910,Assinaturas de Periódicos e Anuidades,"374,01",AP. LUIZ HENRIQUE,01/05/2019
911,Combustíveis e Lubrificantes Automotivos,"6.000,00",AP. LUIZ HENRIQUE,01/05/2019
912,Convênio com Plano de Saúde,"2.310,37",AP. LUIZ HENRIQUE,01/05/2019
913,Divulgação das Atividades Parlamentares,"600,00",AP. LUIZ HENRIQUE,01/05/2019
914,Hospedagens,"2.515,35",AP. LUIZ HENRIQUE,01/05/2019
915,Passagens Aéreas,"4.351,08",AP. LUIZ HENRIQUE,01/05/2019
916,Serviços de Telecomunicações - Pacote de Dados,"706,79",AP. LUIZ HENRIQUE,01/05/2019
917,Vale-Refeição e Vale-Alimentação,"5.000,00",AP. LUIZ HENRIQUE,01/05/2019
918,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUDIC MOTA,01/05/2019
919,Convênio com Plano de Saúde,"1.290,88",AUDIC MOTA,01/05/2019
920,Divulgação das Atividades Parlamentares,"4.100,00",AUDIC MOTA,01/05/2019
921,Seguros em Geral,"504,04",AUDIC MOTA,01/05/2019
922,Serviços de Telecomunicações - Pacote de Dados,"1.389,08",AUDIC MOTA,01/05/2019
923,Vale-Refeição e Vale-Alimentação,"5.000,00",AUDIC MOTA,01/05/2019
924,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUGUSTA BRITO,01/05/2019
925,Convênio com Plano de Saúde,"2.732,16",AUGUSTA BRITO,01/05/2019
926,Locação de Veículos,"1.259,58",AUGUSTA BRITO,01/05/2019
927,Passagens Aéreas,"2.772,67",AUGUSTA BRITO,01/05/2019
928,Passagens Terrestres,"534,05",AUGUSTA BRITO,01/05/2019
929,Serviços Técnicos Profissionais,"14.760,00",AUGUSTA BRITO,01/05/2019
930,Serviços de Telecomunicações - Pacote de Dados,"3.683,13",AUGUSTA BRITO,01/05/2019
931,Vale-Refeição e Vale-Alimentação,"5.000,00",AUGUSTA BRITO,01/05/2019
932,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO GONCALVES,01/05/2019
933,Locação de Veículos,"7.140,00",BRUNO GONCALVES,01/05/2019
934,Serviços Técnicos Profissionais,"15.840,00",BRUNO GONCALVES,01/05/2019
935,Serviços de Telecomunicações - Pacote de Dados,"95,70",BRUNO GONCALVES,01/05/2019
936,Vale-Refeição e Vale-Alimentação,"4.000,00",BRUNO GONCALVES,01/05/2019
937,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO PEDROSA,01/05/2019
938,Convênio com Plano de Saúde,"995,72",BRUNO PEDROSA,01/05/2019
939,Divulgação das Atividades Parlamentares,"8.500,00",BRUNO PEDROSA,01/05/2019
940,Passagens Terrestres,"428,65",BRUNO PEDROSA,01/05/2019
941,Serviços Técnicos Profissionais,"8.100,00",BRUNO PEDROSA,01/05/2019
942,Vale-Refeição e Vale-Alimentação,"2.000,00",BRUNO PEDROSA,01/05/2019
943,Combustíveis e Lubrificantes Automotivos,"5.300,00",CARLOS FELIPE,01/05/2019
944,Divulgação das Atividades Parlamentares,"8.000,00",CARLOS FELIPE,01/05/2019
945,Passagens Aéreas,"863,79",CARLOS FELIPE,01/05/2019
946,Passagens Terrestres,"3.062,06",CARLOS FELIPE,01/05/2019
947,Serviços Técnicos Profissionais,"8.640,00",CARLOS FELIPE,01/05/2019
948,Serviços de Telecomunicações - Pacote de Dados,"994,34",CARLOS FELIPE,01/05/2019
949,Vale-Refeição e Vale-Alimentação,"5.000,00",CARLOS FELIPE,01/05/2019
950,Combustíveis e Lubrificantes Automotivos,"6.000,00",DANNIEL OLIVEIRA,01/05/2019
951,Divulgação das Atividades Parlamentares,"16.000,00",DANNIEL OLIVEIRA,01/05/2019
952,Hospedagens,"1.245,45",DANNIEL OLIVEIRA,01/05/2019
953,Passagens Aéreas,"3.038,10",DANNIEL OLIVEIRA,01/05/2019
954,Passagens Terrestres,"104,41",DANNIEL OLIVEIRA,01/05/2019
955,Serviços Técnicos Profissionais,"8.280,00",DANNIEL OLIVEIRA,01/05/2019
956,Serviços de Telecomunicações - Pacote de Dados,"3.614,09",DANNIEL OLIVEIRA,01/05/2019
957,Vale-Refeição e Vale-Alimentação,"5.000,00",DANNIEL OLIVEIRA,01/05/2019
958,Combustíveis e Lubrificantes Automotivos,"6.000,00",DAVID DURAND,01/05/2019
959,Divulgação das Atividades Parlamentares,"1.000,00",DAVID DURAND,01/05/2019
960,Locação de Veículos,"20.960,00",DAVID DURAND,01/05/2019
961,Passagens Aéreas,"3.441,91",DAVID DURAND,01/05/2019
962,Serviços Técnicos Profissionais,"12.060,00",DAVID DURAND,01/05/2019
963,Serviços de Telecomunicações - Pacote de Dados,"670,58",DAVID DURAND,01/05/2019
964,Vale-Refeição e Vale-Alimentação,"5.000,00",DAVID DURAND,01/05/2019
965,Combustíveis e Lubrificantes Automotivos,"6.000,00",DELEGADO CAVALCANTE,01/05/2019
966,Convênio com Plano de Saúde,"2.754,25",DELEGADO CAVALCANTE,01/05/2019
967,Despesas de Teleprocessamento,"106,13",DELEGADO CAVALCANTE,01/05/2019
968,Serviços de Telecomunicações,"569,89",DELEGADO CAVALCANTE,01/05/2019
969,Serviços de Telecomunicações - Pacote de Dados,"274,16",DELEGADO CAVALCANTE,01/05/2019
970,Vale-Refeição e Vale-Alimentação,"5.000,00",DELEGADO CAVALCANTE,01/05/2019
971,Combustíveis e Lubrificantes Automotivos,"6.000,00",DRA SILVANA,01/05/2019
972,Hospedagens,"1.146,49",DRA SILVANA,01/05/2019
973,Passagens Aéreas,"3.032,33",DRA SILVANA,01/05/2019
974,Serviços Técnicos Profissionais,"19.800,00",DRA SILVANA,01/05/2019
975,Serviços de Telecomunicações - Pacote de Dados,"1.760,24",DRA SILVANA,01/05/2019
976,Vale-Refeição e Vale-Alimentação,"5.000,00",DRA SILVANA,01/05/2019
977,Combustíveis e Lubrificantes Automotivos,"6.000,00",ELMANO,01/05/2019
978,Divulgação das Atividades Parlamentares,"1.000,00",ELMANO,01/05/2019
979,Locação de Veículos,"14.285,71",ELMANO,01/05/2019
980,Serviços Gráficos e Editoriais,"6.464,64",ELMANO,01/05/2019
981,Serviços Técnicos Profissionais,"6.500,00",ELMANO,01/05/2019
982,Serviços de Telecomunicações - Pacote de Dados,"249,40",ELMANO,01/05/2019
983,Vale-Refeição e Vale-Alimentação,"4.000,00",ELMANO,01/05/2019
984,Combustíveis e Lubrificantes Automotivos,"6.000,00",EVANDRO LEITAO,01/05/2019
985,Serviços Técnicos Profissionais,"12.600,00",EVANDRO LEITAO,01/05/2019
986,Serviços de Telecomunicações - Pacote de Dados,"92,70",EVANDRO LEITAO,01/05/2019
987,Vale-Refeição e Vale-Alimentação,"4.000,00",EVANDRO LEITAO,01/05/2019
988,Assinaturas de Periódicos e Anuidades,"160,92",FERNANDA PESSOA,01/05/2019
989,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDA PESSOA,01/05/2019
990,Despesas de Teleprocessamento,"550,00",FERNANDA PESSOA,01/05/2019
991,Divulgação das Atividades Parlamentares,"11.600,00",FERNANDA PESSOA,01/05/2019
992,Serviços Técnicos Profissionais,"3.060,00",FERNANDA PESSOA,01/05/2019
993,Serviços de Comunicação em Geral,"13,00",FERNANDA PESSOA,01/05/2019
994,Serviços de Telecomunicações - Pacote de Dados,"2.155,27",FERNANDA PESSOA,01/05/2019
995,Vale-Refeição e Vale-Alimentação,"5.000,00",FERNANDA PESSOA,01/05/2019
996,Divulgação das Atividades Parlamentares,"8.000,00",FERNANDO SANTANA,01/05/2019
997,Serviços Técnicos Profissionais,"12.960,00",FERNANDO SANTANA,01/05/2019
998,Serviços de Comunicação em Geral,"1,95",FERNANDO SANTANA,01/05/2019
999,Serviços de Telecomunicações - Pacote de Dados,"289,99",FERNANDO SANTANA,01/05/2019
1000,Vale-Refeição e Vale-Alimentação,"5.000,00",FERNANDO SANTANA,01/05/2019
1001,Combustíveis e Lubrificantes Automotivos,"6.000,00",GUILHERME LANDIM,01/05/2019
1002,Convênio com Plano de Saúde,"2.607,11",GUILHERME LANDIM,01/05/2019
1003,Divulgação das Atividades Parlamentares,"6.100,00",GUILHERME LANDIM,01/05/2019
1004,Passagens Terrestres,"610,97",GUILHERME LANDIM,01/05/2019
1005,Serviços Técnicos Profissionais,"8.000,00",GUILHERME LANDIM,01/05/2019
1006,Serviços de Comunicação em Geral,"141,15",GUILHERME LANDIM,01/05/2019
1007,Vale-Refeição e Vale-Alimentação,"5.000,00",GUILHERME LANDIM,01/05/2019
1008,Assinaturas de Periódicos e Anuidades,"1.066,40",HEITOR FERRER,01/05/2019
1009,Combustíveis e Lubrificantes Automotivos,"4.000,00",HEITOR FERRER,01/05/2019
1010,Convênio com Plano de Saúde,"1.589,78",HEITOR FERRER,01/05/2019
1011,Divulgação das Atividades Parlamentares,"3.950,00",HEITOR FERRER,01/05/2019
1012,Serviços Gráficos e Editoriais,"14.960,00",HEITOR FERRER,01/05/2019
1013,Serviços de Comunicação em Geral,"20,70",HEITOR FERRER,01/05/2019
1014,Serviços de Telecomunicações,"22,12",HEITOR FERRER,01/05/2019
1015,Serviços de Telecomunicações - Pacote de Dados,"2.154,53",HEITOR FERRER,01/05/2019
1016,Vale-Refeição e Vale-Alimentação,"4.997,00",HEITOR FERRER,01/05/2019
1017,Combustíveis e Lubrificantes Automotivos,"6.000,00",JOAO JAIME,01/05/2019
1018,Divulgação das Atividades Parlamentares,"500,00",JOAO JAIME,01/05/2019
1019,Serviços Técnicos Profissionais,"16.740,00",JOAO JAIME,01/05/2019
1020,Vale-Refeição e Vale-Alimentação,"4.000,00",JOAO JAIME,01/05/2019
1021,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO ARAUJO,01/05/2019
1022,Divulgação das Atividades Parlamentares,"8.000,00",LEONARDO ARAUJO,01/05/2019
1023,Hospedagens,"356,08",LEONARDO ARAUJO,01/05/2019
1024,Serviços Técnicos Profissionais,"11.880,00",LEONARDO ARAUJO,01/05/2019
1025,Serviços de Telecomunicações - Pacote de Dados,"859,38",LEONARDO ARAUJO,01/05/2019
1026,Vale-Refeição e Vale-Alimentação,"5.000,00",LEONARDO ARAUJO,01/05/2019
1027,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO PINHEIRO,01/05/2019
1028,Divulgação das Atividades Parlamentares,"400,00",LEONARDO PINHEIRO,01/05/2019
1029,Serviços Técnicos Profissionais,"26.820,00",LEONARDO PINHEIRO,01/05/2019
1030,Vale-Refeição e Vale-Alimentação,"3.500,00",LEONARDO PINHEIRO,01/05/2019
1031,Combustíveis e Lubrificantes Automotivos,"6.000,00",LUCILVIO GIRAO,01/05/2019
1032,Convênio com Plano de Saúde,"1.651,62",LUCILVIO GIRAO,01/05/2019
1033,Serviços Técnicos Profissionais,"23.040,00",LUCILVIO GIRAO,01/05/2019
1034,Serviços de Telecomunicações - Pacote de Dados,"226,84",LUCILVIO GIRAO,01/05/2019
1035,Vale-Refeição e Vale-Alimentação,"2.500,00",LUCILVIO GIRAO,01/05/2019
1036,Combustíveis e Lubrificantes Automotivos,"6.000,00",MANOEL DUCA,01/05/2019
1037,Convênio com Plano de Saúde,"2.324,25",MANOEL DUCA,01/05/2019
1038,Serviços Técnicos Profissionais,"10.440,00",MANOEL DUCA,01/05/2019
1039,Serviços de Telecomunicações - Pacote de Dados,"839,13",MANOEL DUCA,01/05/2019
1040,Vale-Refeição e Vale-Alimentação,"1.950,00",MANOEL DUCA,01/05/2019
1041,Combustíveis e Lubrificantes Automotivos,"6.000,00",MARCOS SOBREIRA,01/05/2019
1042,Divulgação das Atividades Parlamentares,"13.500,00",MARCOS SOBREIRA,01/05/2019
1043,Serviços de Comunicação em Geral,"390,76",MARCOS SOBREIRA,01/05/2019
1044,Serviços de Telecomunicações - Pacote de Dados,"191,31",MARCOS SOBREIRA,01/05/2019
1045,Vale-Refeição e Vale-Alimentação,"3.200,00",MARCOS SOBREIRA,01/05/2019
1046,Assinaturas de Periódicos e Anuidades,"99,90",MOISES BRAZ,01/05/2019
1047,Combustíveis e Lubrificantes Automotivos,"6.000,00",MOISES BRAZ,01/05/2019
1048,Convênio com Plano de Saúde,"2.526,63",MOISES BRAZ,01/05/2019
1049,Despesas de Teleprocessamento,"470,00",MOISES BRAZ,01/05/2019
1050,Divulgação das Atividades Parlamentares,"1.400,00",MOISES BRAZ,01/05/2019
1051,Locação de Veículos,"12.070,00",MOISES BRAZ,01/05/2019
1052,Serviços de Telecomunicações - Pacote de Dados,"1.487,18",MOISES BRAZ,01/05/2019
1053,Vale-Refeição e Vale-Alimentação,"4.222,50",MOISES BRAZ,01/05/2019
1054,Combustíveis e Lubrificantes Automotivos,"3.000,00",NELINHO,01/05/2019
1055,Convênio com Plano de Saúde,"716,83",NELINHO,01/05/2019
1056,Despesas de Teleprocessamento,"543,70",NELINHO,01/05/2019
1057,Despesas de Teleprocessamento,"132,70",NELINHO,01/05/2019
1058,Divulgação das Atividades Parlamentares,"16.000,00",NELINHO,01/05/2019
1059,Serviços Técnicos Profissionais,"19.440,00",NELINHO,01/05/2019
1060,Serviços de Telecomunicações - Pacote de Dados,"9,39",NELINHO,01/05/2019
1061,Vale-Refeição e Vale-Alimentação,"4.250,00",NELINHO,01/05/2019
1062,Divulgação das Atividades Parlamentares,"7.900,00",NEZINHO FARIAS,01/05/2019
1063,Locação de Veículos,"4.250,00",NEZINHO FARIAS,01/05/2019
1064,Serviços Técnicos Profissionais,"11.160,00",NEZINHO FARIAS,01/05/2019
1065,Serviços de Telecomunicações - Pacote de Dados,"411,16",NEZINHO FARIAS,01/05/2019
1066,Vale-Refeição e Vale-Alimentação,"5.000,00",NEZINHO FARIAS,01/05/2019
1067,Convênio com Plano de Saúde,"1.944,57",NIZO COSTA,01/05/2019
1068,Divulgação das Atividades Parlamentares,"8.000,00",NIZO COSTA,01/05/2019
1069,Locação de Veículos,"9.350,00",NIZO COSTA,01/05/2019
1070,Serviços de Comunicação em Geral,"44,60",NIZO COSTA,01/05/2019
1071,Vale-Refeição e Vale-Alimentação,"4.000,00",NIZO COSTA,01/05/2019
1072,Combustíveis e Lubrificantes Automotivos,"6.000,00",OSMAR BAQUIT,01/05/2019
1073,Divulgação das Atividades Parlamentares,"6.200,00",OSMAR BAQUIT,01/05/2019
1074,Passagens Aéreas,"3.848,38",OSMAR BAQUIT,01/05/2019
1075,Passagens Terrestres,"241,49",OSMAR BAQUIT,01/05/2019
1076,Serviços Técnicos Profissionais,"9.900,00",OSMAR BAQUIT,01/05/2019
1077,Serviços de Telecomunicações - Pacote de Dados,"4.114,44",OSMAR BAQUIT,01/05/2019
1078,Vale-Refeição e Vale-Alimentação,"5.000,00",OSMAR BAQUIT,01/05/2019
1079,Combustíveis e Lubrificantes Automotivos,"1.000,00",PATRICIA AGUIAR,01/05/2019
